1---正在获取第36页Sun Oct  7 22:52:41 2018
1---正在获取第37页Sun Oct  7 22:52:49 2018
009-1-评论页网络-出错:B07FSBBYJD商品---Sun Oct  7 22:53:18 2018
009-1-评论页网络-出错:B07DC3X2WP商品---Sun Oct  7 22:53:18 2018
009-1-评论页网络-出错:B00V7PO7CE商品---Sun Oct  7 22:53:18 2018
009-1-评论页网络-出错:B07DC2YRXD商品---Sun Oct  7 22:53:19 2018
009-1-评论页网络-出错:B074SNZH44商品---Sun Oct  7 22:53:19 2018
009-1-评论页网络-出错:B00B5PX70E商品---Sun Oct  7 22:53:19 2018
009-1-评论页网络-出错:B07DXXKWFB商品---Sun Oct  7 22:55:21 2018
1---正在获取第38页Sun Oct  7 22:56:01 2018
009-1-评论页网络-出错:B073QNZPMR商品---Sun Oct  7 22:56:23 2018
009-1-评论页网络-出错:B01CSCL3G2商品---Sun Oct  7 22:56:23 2018
009-1-评论页网络-出错:B01H1AT4D0商品---Sun Oct  7 22:56:24 2018
009-1-评论页网络-出错:B01N6GF45M商品---Sun Oct  7 22:56:25 2018
009-1-评论页网络-出错:B011IWFX6E商品---Sun Oct  7 22:56:25 2018
009-1-评论页网络-出错:B01B83HX0C商品---Sun Oct  7 22:56:27 2018
009-1-评论页网络-出错:B07FFVJHN9商品---Sun Oct  7 22:56:30 2018
009-1-评论页网络-出错:B004I5R35S商品---Sun Oct  7 22:56:32 2018
009-1-评论页网络-出错:B00WGGJ2XC商品---Sun Oct  7 22:56:49 2018
009-1-评论页网络-出错:B01MU0II8U商品---Sun Oct  7 22:56:55 2018
009-1-评论页网络-出错:B07FLV9LJV商品---Sun Oct  7 22:56:59 2018
1---正在获取第39页Sun Oct  7 22:59:03 2018
009-1-评论页网络-出错:B0718VWM59商品---Sun Oct  7 22:59:09 2018
009-1-评论页网络-出错:B01MG20CSJ商品---Sun Oct  7 22:59:09 2018
009-1-评论页网络-出错:B00NXLUKC6商品---Sun Oct  7 22:59:10 2018
009-1-评论页网络-出错:B01M2X6A7U商品---Sun Oct  7 22:59:13 2018
009-1-评论页网络-出错:B00K14FEFQ商品---Sun Oct  7 22:59:14 2018
009-1-评论页网络-出错:B01NGU2AOH商品---Sun Oct  7 22:59:15 2018
009-1-评论页网络-出错:B01KNIBAFC商品---Sun Oct  7 22:59:23 2018
009-1-评论页网络-出错:B01BTOJ20O商品---Sun Oct  7 23:01:51 2018
1---正在获取第40页Sun Oct  7 23:01:58 2018
009-1-评论页网络-出错:B00E0C23MW商品---Sun Oct  7 23:02:20 2018
009-1-评论页网络-出错:B073PVHRCV商品---Sun Oct  7 23:02:20 2018
009-1-评论页网络-出错:B01HXPNVD2商品---Sun Oct  7 23:02:21 2018
009-1-评论页网络-出错:B01E12TEY0商品---Sun Oct  7 23:02:22 2018
009-1-评论页网络-出错:B078S8XHD1商品---Sun Oct  7 23:02:22 2018
009-1-评论页网络-出错:B002UXT3NU商品---Sun Oct  7 23:02:22 2018
009-1-评论页网络-出错:B07CPQDBL7商品---Sun Oct  7 23:02:25 2018
009-1-评论页网络-出错:B07C3SNP4R商品---Sun Oct  7 23:02:41 2018
1---正在获取第41页Sun Oct  7 23:06:02 2018
009-1-评论页网络-出错:B07C4TMWNJ商品---Sun Oct  7 23:06:34 2018
009-1-评论页网络-出错:B00N1R8VC8商品---Sun Oct  7 23:06:36 2018
009-1-评论页网络-出错:B019SI52AM商品---Sun Oct  7 23:06:39 2018
009-1-评论页网络-出错:B00F3T0SKU商品---Sun Oct  7 23:06:49 2018
009-1-评论页网络-出错:B00KZIC0W8商品---Sun Oct  7 23:06:56 2018
1---正在获取第42页Sun Oct  7 23:07:52 2018
009-1-评论页网络-出错:B00U13OPI4商品---Sun Oct  7 23:08:41 2018
009-1-评论页网络-出错:B00C9D1A4Q商品---Sun Oct  7 23:08:42 2018
009-1-评论页网络-出错:B00Z0FG7HA商品---Sun Oct  7 23:08:44 2018
009-1-评论页网络-出错:B07FN3FD9S商品---Sun Oct  7 23:08:46 2018
009-1-评论页网络-出错:B00ES7T070商品---Sun Oct  7 23:08:54 2018
009-1-评论页网络-出错:B002WTNDVK商品---Sun Oct  7 23:09:03 2018
009-1-评论页网络-出错:B01MEGWKGI商品---Sun Oct  7 23:10:28 2018
1---正在获取第43页Sun Oct  7 23:12:03 2018
009-1-评论页网络-出错:B07195SL96商品---Sun Oct  7 23:12:38 2018
009-1-评论页网络-出错:B00VDZGU82商品---Sun Oct  7 23:12:42 2018
009-1-评论页网络-出错:B0037UZODI商品---Sun Oct  7 23:12:43 2018
009-1-评论页网络-出错:B00W70Q3ZM商品---Sun Oct  7 23:12:44 2018
009-1-评论页网络-出错:B01AZ6QLNI商品---Sun Oct  7 23:12:46 2018
009-1-评论页网络-出错:B017PX6UBW商品---Sun Oct  7 23:12:50 2018
009-1-评论页网络-出错:B00V7PSYF0商品---Sun Oct  7 23:12:56 2018
009-1-评论页网络-出错:B008C4ED04商品---Sun Oct  7 23:13:01 2018
009-1-评论页网络-出错:B00IEQRYQ0商品---Sun Oct  7 23:13:02 2018
009-1-评论页网络-出错:B00IUJQMGY商品---Sun Oct  7 23:13:26 2018
1---正在获取第44页Sun Oct  7 23:17:11 2018
009-1-评论页网络-出错:B00D3YB7UM商品---Sun Oct  7 23:17:40 2018
009-1-评论页网络-出错:B00RF1JEH2商品---Sun Oct  7 23:17:40 2018
009-1-评论页网络-出错:B00XG6I2P0商品---Sun Oct  7 23:17:41 2018
009-1-评论页网络-出错:B00IU6OWVO商品---Sun Oct  7 23:17:41 2018
009-1-评论页网络-出错:B00V7Q1R2Q商品---Sun Oct  7 23:17:41 2018
